classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,9)",9,0.4604,0.4566,0.2995,94.3333,90,100,0.9905,0.8724,1.6979
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,10)",10,0.4791,0.475,0.3145,94.2,91,98,0.9906,0.8793,1.6698
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,12)",12,0.4511,0.4461,0.2899,93.7667,89,99,0.9888,0.8759,1.7059
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,14)",14,0.4628,0.4586,0.3001,95.1333,92,99,0.9881,0.9023,1.7137
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,16)",16,0.4396,0.4343,0.2797,95.1667,90,100,0.9892,0.8736,1.7238
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,18)",18,0.4301,0.4258,0.2731,94.2333,90,99,0.9887,0.8816,1.9236
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Breast,"trains-p-diff(260,20)",20,0.4392,0.4336,0.2795,94.8,90,98,0.9882,0.8678,1.9586
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,1)",1,0.7,0.6933,0.5509,91.8,88,96,1.0,1.0,0.7002
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,2)",2,0.6309,0.6264,0.4643,92.4333,90,95,1.0,0.9958,0.6929
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,3)",3,0.6353,0.6288,0.4684,92.3,88,96,1.0,0.9986,0.7079
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,4)",4,0.5688,0.5632,0.3968,92.9333,87,98,1.0,0.9958,0.7241
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,5)",5,0.5573,0.5546,0.3881,93.3333,91,95,1.0,0.9986,0.7673
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,6)",6,0.5636,0.559,0.3914,91.5,88,95,1.0,1.0,0.7884
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,7)",7,0.5457,0.5407,0.3738,91.9667,89,97,1.0,0.9972,0.8057
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,8)",8,0.5334,0.5287,0.3627,92.2667,90,99,1.0,0.9958,0.739
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,9)",9,0.5264,0.5221,0.3556,93.0,91,97,1.0,0.9944,0.7341
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,10)",10,0.5278,0.524,0.3574,93.0,90,96,1.0,0.9944,0.7406
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,12)",12,0.5093,0.5063,0.3417,92.4,90,95,1.0,0.9944,0.8197
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,14)",14,0.4974,0.4941,0.3309,92.3667,89,96,1.0,0.9889,0.7766
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,16)",16,0.5025,0.4981,0.3349,92.4667,88,95,1.0,0.9917,0.6924
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,18)",18,0.5069,0.5033,0.3389,92.1667,90,95,1.0,0.9903,0.6944
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Colorectal,"trains-p-diff(170,20)",20,0.5057,0.4992,0.3346,92.2222,87,96,1.0,0.9907,0.6969
"2_RF_t3e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Leukemia,"trains-p-diff(80,1)",1,0.6299,0.6216,0.4696,103.5667,99,110,1.0,0.9968,0.5013
